"","marca","precio","año","kilometraje","transmicion","link"
"49","suzuki sx glx sport  ","5990000","2011","148929","manual","https://www.portillousados.cl/web/autos-usados/suzuki/sx4/2011/id/279693"
"50","toyota auris  aut ","10090000","2015","52900","automatica","https://www.portillousados.cl/web/autos-usados/toyota/auris/2015/id/279696"
"51","toyota yaris gli  ","9590000","2018","77500","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2018/id/279724"
"52","peugeot  premium  ","5490000","2011","118000","manual","https://www.portillousados.cl/web/autos-usados/peugeot/207/2011/id/279779"
"53","nissan nv s long  ","17290000","2016","45000","manual","https://www.portillousados.cl/web/autos-usados/nissan/nv350/2016/id/279867"
"54","audi a coupe sport tfsi  aut ","25590000","2018","24000","automatica","https://www.portillousados.cl/web/autos-usados/audi/a5/2018/id/279907"
"55","toyota yaris sedan otto  ","10590000","2019","11500","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2019/id/280000"
"56","toyota yaris gli  ","10490000","2018","12500","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2018/id/280001"
"57","bmw i lci  aut ","19590000","2018","29000","automatica","https://www.portillousados.cl/web/autos-usados/bmw/116/2018/id/280002"
"58","citroen c  aut ","11990000","2018","60314","automatica","https://www.portillousados.cl/web/autos-usados/citroen/c-4/2018/id/280050"
"59","toyota prius c hb  aut ","12790000","2018","32000","automatica","https://www.portillousados.cl/web/autos-usados/toyota/prius/2018/id/280057"
"60","toyota auris lei  ","5890000","2011","142004","manual","https://www.portillousados.cl/web/autos-usados/toyota/auris/2011/id/280060"
"61","ssangyong korando  ","9290000","2014","69759","manual","https://www.portillousados.cl/web/autos-usados/ssangyong/korando/2014/id/280138"
"62","suzuki swift gls  at ","8690000","2015","92120","automatica","https://www.portillousados.cl/web/autos-usados/suzuki/swift/2015/id/280141"
"63","kia rio  ex  ","9490000","2017","40500","manual","https://www.portillousados.cl/web/autos-usados/kia/rio/2017/id/280142"
"64","toyota corolla le  aut ","9590000","2015","109510","automatica","https://www.portillousados.cl/web/autos-usados/toyota/corolla/2015/id/280221"
"65","daihatsu terios  ","9990000","2015","77042","manual","https://www.portillousados.cl/web/autos-usados/daihatsu/terios/2015/id/280230"
"66","subaru impreza sport xs awd i ","12290000","2016","42187","manual","https://www.portillousados.cl/web/autos-usados/subaru/impreza/2016/id/280233"
"67","suzuki grand vitara glx x  ","9290000","2015","101738","manual","https://www.portillousados.cl/web/autos-usados/suzuki/grand-vitara/2015/id/280234"
"68","nissan terrano dx d cab  ","10890000","2014","80091","manual","https://www.portillousados.cl/web/autos-usados/nissan/terrano/2014/id/280271"
"69","nissan march active  ","7490000","2017","40500","manual","https://www.portillousados.cl/web/autos-usados/nissan/march/2017/id/280273"
"70","volvo v cc d  aut ","19390000","2018","35078","automatica","https://www.portillousados.cl/web/autos-usados/volvo/v40/2018/id/280345"
"71","chery arrizo  glx  ","6690000","2018","19123","manual","https://www.portillousados.cl/web/autos-usados/chery/arrizo-3/2018/id/280348"
"72","bmw i luxury lci  aut ","24690000","2017","46045","automatica","https://www.portillousados.cl/web/autos-usados/bmw/320/2017/id/280349"
"73","suzuki sx glx sport  ","5690000","2011","121249","manual","https://www.portillousados.cl/web/autos-usados/suzuki/sx4/2011/id/280470"
"74","hyundai new tucson fl gl  aut ","12190000","2015","83269","automatica","https://www.portillousados.cl/web/autos-usados/hyundai/tucson/2015/id/280586"
"75","chevrolet sonic ii lt  ","6490000","2013","47563","manual","https://www.portillousados.cl/web/autos-usados/chevrolet/sonic/2013/id/280589"
"76","suzuki grand nomade glx sport  at ","9390000","2013","106000","automatica","https://www.portillousados.cl/web/autos-usados/suzuki/grand-nomade/2013/id/280596"
"77","nissan np dcab  ","16990000","2019","101781","manual","https://www.portillousados.cl/web/autos-usados/nissan/np300/2019/id/280700"
"78","chery beat  ","5990000","2016","52548","manual","https://www.portillousados.cl/web/autos-usados/chery/beat/2016/id/280815"
"79","toyota yaris sedan otto  ","10590000","2020","364","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2020/id/280948"
"80","toyota corollagli  ","8090000","2014","98969","manual","https://www.portillousados.cl/web/autos-usados/toyota/corolla/2014/id/280952"
"81","toyota yaris sedan otto  ","10190000","2019","6900","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2019/id/280953"
"82","chevrolet prisma  ","8490000","2019","43517","manual","https://www.portillousados.cl/web/autos-usados/chevrolet/prisma/2019/id/280991"
"83","mini f cooper ","13690000","2018","46284","manual","https://www.portillousados.cl/web/autos-usados/mini/cooper/2018/id/281068"
"84","mitsubishi montero sport g  ","16390000","2015","99000","manual","https://www.portillousados.cl/web/autos-usados/mitsubishi/montero/2015/id/281080"
"85","audi q tdi  ","15790000","2012","135000","automatica","https://www.portillousados.cl/web/autos-usados/audi/q5/2012/id/281081"
"86","mitsubishi outlander  ","12990000","2016","102000","manual","https://www.portillousados.cl/web/autos-usados/mitsubishi/outlander/2016/id/281172"
"87","suzuki celerio glx hb  at ","6990000","2014","54763","automatica","https://www.portillousados.cl/web/autos-usados/suzuki/celerio/2014/id/281173"
"88","peugeot  confort pack  ","6090000","2010","91012","manual","https://www.portillousados.cl/web/autos-usados/peugeot/308/2010/id/281176"
"89","nissan tiida  ","5990000","2014","96482","manual","https://www.portillousados.cl/web/autos-usados/nissan/tiida/2014/id/281178"
"90","chevrolet suburban lt x  aut ","36990000","2018","29000","automatica","https://www.portillousados.cl/web/autos-usados/chevrolet/suburban/2018/id/281182"
"91","toyota yaris sedan otto  ","10790000","2019","12500","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2019/id/281183"
"92","suzuki swift gl hb  ","9490000","2018","35099","manual","https://www.portillousados.cl/web/autos-usados/suzuki/swift/2018/id/281188"
"93","mazda  sedan v  ","9090000","2014","72122","manual","https://www.portillousados.cl/web/autos-usados/mazda/3/2014/id/281189"
"94","mitsubishi mirage glx m/t  ","7890000","2015","39514","manual","https://www.portillousados.cl/web/autos-usados/mitsubishi/mirage/2015/id/281190"
"95","chevrolet onix ltz  ","7990000","2017","37837","manual","https://www.portillousados.cl/web/autos-usados/chevrolet/onix/2017/id/281195"
"96","mitsubishi montero sport g  aut ","17290000","2016","82348","automatica","https://www.portillousados.cl/web/autos-usados/mitsubishi/montero-sport/2016/id/281197"
"97","toyota prius hb  at ","17790000","2019","10407","automatica","https://www.portillousados.cl/web/autos-usados/toyota/prius/2019/id/281199"
"98","peugeot  allure blue hdi  aut ","13890000","2017","95116","automatica","https://www.portillousados.cl/web/autos-usados/peugeot/3008/2017/id/281200"
"99","suzuki swift gl hb  ","9090000","2017","44179","manual","https://www.portillousados.cl/web/autos-usados/suzuki/swift/2017/id/281206"
"100","peugeot  active hdi  ","12090000","2019","23988","manual","https://www.portillousados.cl/web/autos-usados/peugeot/301/2019/id/281207"
"101","bmw d premium  aut ","17190000","2014","103000","automatica","https://www.portillousados.cl/web/autos-usados/bmw/530/2014/id/281209"
"102","kia sportage gtl awd  aut ","19690000","2018","31564","automatica","https://www.portillousados.cl/web/autos-usados/kia/sportage/2018/id/281227"
"103","hyundai accent rb gl  ","7590000","2014","80000","manual","https://www.portillousados.cl/web/autos-usados/hyundai/accent/2014/id/281229"
"104","suzuki swift glx  ","8890000","2015","72028","manual","https://www.portillousados.cl/web/autos-usados/suzuki/swift/2015/id/281232"
"105","toyota yaris hb  ","8690000","2018","82331","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2018/id/281250"
"106","mitsubishi l dakar x  aut ","24990000","2019","22926","automatica","https://www.portillousados.cl/web/autos-usados/mitsubishi/l200/2019/id/281487"
"107","suzuki swift glx hb ","11490000","2020","20648","manual","https://www.portillousados.cl/web/autos-usados/suzuki/swift/2020/id/281495"
"108","hyundai accent rb gl  ","10590000","2017","35392","manual","https://www.portillousados.cl/web/autos-usados/hyundai/accent/2017/id/281619"
"109","kia rio  lx  ","8990000","2018","51200","manual","https://www.portillousados.cl/web/autos-usados/kia/rio-4/2018/id/281622"
"110","mitsubishi montero sport g  at ","16390000","2015","73866","automatica","https://www.portillousados.cl/web/autos-usados/mitsubishi/montero-sport/2015/id/281626"
"111","peugeot  gt bluehdi  aut ","29490000","2019","20183","automatica","https://www.portillousados.cl/web/autos-usados/peugeot/5008/2019/id/281627"
"112","toyota rav ltd  aut ","12390000","2014","128000","automatica","https://www.portillousados.cl/web/autos-usados/toyota/rav4/2014/id/281628"
