"","marca","precio","año","kilometraje","transmicion","link"
"209","toyota yaris gli  ","9090000","2018","51000","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2018/id/282168"
"210","nissan x trail sense cvt  ","14390000","2017","49867","automatica","https://www.portillousados.cl/web/autos-usados/nissan/x-trail/2017/id/282252"
"211","peugeot  active  aut ","18990000","2020","8600","automatica","https://www.portillousados.cl/web/autos-usados/peugeot/3008/2020/id/282284"
"212","suzuki swift gl sport hb  ","8790000","2018","46771","manual","https://www.portillousados.cl/web/autos-usados/suzuki/swift/2018/id/282370"
"213","toyota land cruiser prado  p at super lujo ","27890000","2016","83558","automatica","https://www.portillousados.cl/web/autos-usados/toyota/fj-cruiser/2016/id/282465"
"214","peugeot  vti  ","9090000","2018","66800","manual","https://www.portillousados.cl/web/autos-usados/peugeot/301/2018/id/282593"
"215","chevrolet spark  ","6690000","2015","34000","manual","https://www.portillousados.cl/web/autos-usados/chevrolet/spark/2015/id/282596"
"216","nissan np dcab le x  aut ","19990000","2017","140000","automatica","https://www.portillousados.cl/web/autos-usados/nissan/np300/2017/id/282597"
"217","mazda new   aut ","9490000","2016","109926","automatica","https://www.portillousados.cl/web/autos-usados/mazda/3/2016/id/282599"
"218","chevrolet sail lt  ","8290000","2018","27478","manual","https://www.portillousados.cl/web/autos-usados/chevrolet/sail/2018/id/282600"
"219","nissan np d cab x  aut ","19990000","2017","168136","automatica","https://www.portillousados.cl/web/autos-usados/nissan/np300/2017/id/282601"
"220","toyota yaris sedan otto  ","10790000","2019","10530","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2019/id/282605"
"221","suzuki alto k dlk  ","5090000","2013","73600","manual","https://www.portillousados.cl/web/autos-usados/suzuki/alto/2013/id/282607"
"222","audi a sportback fsi quattro  aut ","13990000","2012","108022","automatica","https://www.portillousados.cl/web/autos-usados/audi/a5/2012/id/282609"
"223","renault clio iv hb  ","9390000","2018","30292","manual","https://www.portillousados.cl/web/autos-usados/renault/clio/2018/id/282611"
"224","peugeot  allure hdi  ","8990000","2018","146000","manual","https://www.portillousados.cl/web/autos-usados/peugeot/301/2018/id/282613"
"225","suzuki grand nomade glx sport  ","6990000","2012","95352","manual","https://www.portillousados.cl/web/autos-usados/suzuki/grand-nomade/2012/id/282614"
"226","toyota hilux x  aut ","21390000","2018","100000","automatica","https://www.portillousados.cl/web/autos-usados/toyota/hilux/2018/id/282615"
"227","hyundai elantra gls  at ","10490000","2017","66878","automatica","https://www.portillousados.cl/web/autos-usados/hyundai/elantra/2017/id/282673"
"228","nissan versa mt  ","9690000","2020","18000","manual","https://www.portillousados.cl/web/autos-usados/nissan/versa/2020/id/282676"
"229","nissan np d cab x  aut ","19990000","2017","113895","automatica","https://www.portillousados.cl/web/autos-usados/nissan/np300/2017/id/282678"
"230","peugeot  active hdi  ","9990000","2019","5","manual","https://www.portillousados.cl/web/autos-usados/peugeot/301/2019/id/282680"
"231","peugeot  active  ","9990000","2019","5","manual","https://www.portillousados.cl/web/autos-usados/peugeot/301/2019/id/282681"
"232","brilliance fsv  ","4190000","2014","136206","manual","https://www.portillousados.cl/web/autos-usados/brilliance/fsv/2014/id/282686"
"233","nissan np dcab  ","16990000","2019","60201","manual","https://www.portillousados.cl/web/autos-usados/nissan/np300/2019/id/282688"
"234","nissan x-trail sense  cvt ","12590000","2016","1122007","automatica","https://www.portillousados.cl/web/autos-usados/nissan/x-trail/2016/id/282693"
"235","toyota rav  aut ","16090000","2015","77277","automatica","https://www.portillousados.cl/web/autos-usados/toyota/rav4/2015/id/282704"
"236","mercedes benz glc d ","27790000","2018","70500","automatica","https://www.portillousados.cl/web/autos-usados/mercedes-benz/glc-220/2018/id/282751"
"237","peugeot  blue hdi hp  aut ","20590000","2020","14370","automatica","https://www.portillousados.cl/web/autos-usados/peugeot/3008/2020/id/282809"
"238","nissan np dcab  ","16990000","2019","88969","manual","https://www.portillousados.cl/web/autos-usados/nissan/np300/2019/id/282816"
"239","toyota rav   ","10890000","2014","88000","manual","https://www.portillousados.cl/web/autos-usados/toyota/rav4/2014/id/282955"
"240","nissan np d cab x  aut ","19990000","2017","111669","manual","https://www.portillousados.cl/web/autos-usados/nissan/np300/2017/id/282960"
"241","kia rio   ex ","10190000","2015","65000","manual","https://www.portillousados.cl/web/autos-usados/kia/rio-4/2015/id/282961"
"242","peugeot  allure blue hdi  ","10790000","2015","88093","manual","https://www.portillousados.cl/web/autos-usados/peugeot/308/2015/id/282962"
"243","toyota yaris hb  aut ","11190000","2018","11800","automatica","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2018/id/282968"
"244","lexus cth hb cvt  ","11990000","2014","83658","automatica","https://www.portillousados.cl/web/autos-usados/lexus/ct200/2014/id/283017"
"245","suzuki vitara ltd x  ","12990000","2016","55000","manual","https://www.portillousados.cl/web/autos-usados/suzuki/vitara/2016/id/283019"
"246","peugeot traveller business bluehdi  ","20490000","2020","7","manual","https://www.portillousados.cl/web/autos-usados/peugeot/traveller/2020/id/283020"
"247","subaru all new forester  ","9590000","2013","129885","manual","https://www.portillousados.cl/web/autos-usados/subaru/forester/2013/id/283021"
"248","chevrolet sonic ii  ","6990000","2014","81470","manual","https://www.portillousados.cl/web/autos-usados/chevrolet/sonic/2014/id/283137"
"249","mitsubishi montero sport g  ","17590000","2016","73260","automatica","https://www.portillousados.cl/web/autos-usados/mitsubishi/montero-sport/2016/id/283138"
"250","ford f- lariat luxury cc x l ","15190000","2013","149934","automatica","https://www.portillousados.cl/web/autos-usados/ford/f-150/2013/id/283246"
"251","peugeot  active  ","9990000","2019","5","manual","https://www.portillousados.cl/web/autos-usados/peugeot/301/2019/id/283248"
"252","mazda cx   aut ","8590000","2008","115000","automatica","https://www.portillousados.cl/web/autos-usados/mazda/cx-7/2008/id/283272"
"253","mazda cx  ","8590000","2011","94389","manual","https://www.portillousados.cl/web/autos-usados/mazda/cx-7/2011/id/283273"
"254","toyota rav  aut ","16990000","2018","22938","automatica","https://www.portillousados.cl/web/autos-usados/toyota/rav4/2018/id/283274"
"255","kia sorento  aut ","8690000","2012","122000","automatica","https://www.portillousados.cl/web/autos-usados/kia/sorento/2012/id/283275"
"256","nissan np dcab  ","16990000","2019","63853","manual","https://www.portillousados.cl/web/autos-usados/nissan/np300/2019/id/283276"
"257","toyota  runner ltd x  ","16990000","2014","93309","automatica","https://www.portillousados.cl/web/autos-usados/toyota/4runner/2014/id/283278"
"258","toyota rav  ","9590000","2014","124900","manual","https://www.portillousados.cl/web/autos-usados/toyota/rav4/2014/id/283279"
"259","changan cx elite  ","10990000","2019","12706","manual","https://www.portillousados.cl/web/autos-usados/changan/cx70/2019/id/283280"
"260","kia cerato sx  ","9490000","2017","69058","manual","https://www.portillousados.cl/web/autos-usados/kia/cerato/2017/id/283282"
"261","kia rio  ex  ","9990000","2017","4861","manual","https://www.portillousados.cl/web/autos-usados/kia/rio/2017/id/283283"
"262","suzuki alto k glx hb  ","5790000","2019","77253","manual","https://www.portillousados.cl/web/autos-usados/suzuki/alto/2019/id/283284"
"263","nissan x trail  aut ","18990000","2018","22999","automatica","https://www.portillousados.cl/web/autos-usados/nissan/x-trail/2018/id/283285"
"264","nissan march sport advance  aut ","9090000","2016","36942","automatica","https://www.portillousados.cl/web/autos-usados/nissan/march/2016/id/283286"
"265","mazda  v  aut ","11290000","2015","74845","automatica","https://www.portillousados.cl/web/autos-usados/mazda/6/2015/id/283287"
"266","great wall wingle   ","6590000","2015","44097","manual","https://www.portillousados.cl/web/autos-usados/great-wall/wingle/2015/id/283288"
"267","peugeot  active  ","7490000","2015","84345","manual","https://www.portillousados.cl/web/autos-usados/peugeot/208/2015/id/283289"
"268","toyota yaris sport xli ","5090000","2006","81950","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2006/id/283290"
"269","hyundai sonata yf gls fwd  aut ","6390000","2012","96762","automatica","https://www.portillousados.cl/web/autos-usados/hyundai/sonata/2012/id/283291"
"270","citroen c cactus e hdi  ","12390000","2018","59065","manual","https://www.portillousados.cl/web/autos-usados/citroen/c-4/2018/id/283292"
"271","volkswagen voyage power  ","7990000","2018","68576","manual","https://www.portillousados.cl/web/autos-usados/volkswagen/voyage/2018/id/283293"
"272","peugeot  thp hp  aut ","18690000","2019","37118","automatica","https://www.portillousados.cl/web/autos-usados/peugeot/3008/2019/id/283294"
"273","citroen c blue hdi  ","12190000","2019","26576","manual","https://www.portillousados.cl/web/autos-usados/citroen/c-3/2019/id/283295"
"274","nissan march k hb  ","7990000","2018","32610","manual","https://www.portillousados.cl/web/autos-usados/nissan/march/2018/id/283296"
"275","toyota rav   ","15790000","2019","4500","manual","https://www.portillousados.cl/web/autos-usados/toyota/rav4/2019/id/283297"
"276","changan cx elite  aut ","10990000","2020","4656","automatica","https://www.portillousados.cl/web/autos-usados/changan/cx70/2020/id/283298"
"277","subaru new impreza cvt  ","14490000","2017","64747","automatica","https://www.portillousados.cl/web/autos-usados/subaru/impreza/2017/id/283299"
"278","kia grand carnival lx  aut ","16990000","2016","76015","automatica","https://www.portillousados.cl/web/autos-usados/kia/grand-carnival/2016/id/283342"
"279","toyota corollaotto  aut ","14090000","2019","10800","automatica","https://www.portillousados.cl/web/autos-usados/toyota/corolla/2019/id/283343"
"280","chevrolet captiva ls d ab ","5000000","2010","138056","manual","https://www.portillousados.cl/web/autos-usados/chevrolet/captiva/2010/id/283344"
"281","suzuki swift gls hb  ","10190000","2018","36369","manual","https://www.portillousados.cl/web/autos-usados/suzuki/swift/2018/id/283345"
"282","nissan kicks advance ","12090000","2017","32800","manual","https://www.portillousados.cl/web/autos-usados/nissan/kicks/2017/id/283346"
"283","toyota rav   ","15590000","2018","22000","manual","https://www.portillousados.cl/web/autos-usados/toyota/rav4/2018/id/283347"
